"filename", "language", "JavaScript", "PHP", "JSON", "YAML", "Markdown", "PostCSS", "XML", "Docker", "Makefile", "Shell Script", "Happy", "reStructuredText", "pip requirements", "Python", "Dotenv", "Assembly", "Properties", "HTML", "Ruby", "CSV", "TypeScript", "Ini", "Batch", "Log", "MS SQL", "comment", "blank", "total"
"c:\Users\Brahim\Desktop\Prenoting\docs\superpowers\plans\2026-04-23-doctor-availability.md", "Markdown", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 47
"c:\Users\Brahim\Desktop\Prenoting\docs\superpowers\plans\2026-04-23-italian-portal-copy.md", "Markdown", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 47
"c:\Users\Brahim\Desktop\Prenoting\docs\superpowers\plans\2026-04-23-medical-appointment-mvp.md", "Markdown", 0, 0, 0, 0, 1040, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 345, 1385
"c:\Users\Brahim\Desktop\Prenoting\docs\superpowers\plans\2026-04-23-portal-roles-and-route-views.md", "Markdown", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 54
"c:\Users\Brahim\Desktop\Prenoting\docs\superpowers\plans\2026-04-29-registrazione-profilo-codice-fiscale.md", "Markdown", 0, 0, 0, 0, 718, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 131, 849
"c:\Users\Brahim\Desktop\Prenoting\docs\superpowers\plans\2026-04-30-landing-doctor-section.md", "Markdown", 0, 0, 0, 0, 295, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 385
"c:\Users\Brahim\Desktop\Prenoting\docs\superpowers\plans\2026-04-30-landing-page.md", "Markdown", 0, 0, 0, 0, 365, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 107, 472
"c:\Users\Brahim\Desktop\Prenoting\docs\superpowers\plans\2026-05-01-disponibilita-redesign.md", "Markdown", 0, 0, 0, 0, 572, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 672
"c:\Users\Brahim\Desktop\Prenoting\docs\superpowers\plans\2026-05-01-luogo-nascita-datalist.md", "Markdown", 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 135
"c:\Users\Brahim\Desktop\Prenoting\docs\superpowers\plans\2026-05-02-appointment-info-modal.md", "Markdown", 0, 0, 0, 0, 322, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 384
"c:\Users\Brahim\Desktop\Prenoting\docs\superpowers\plans\2026-05-02-treatment-delete-modal.md", "Markdown", 0, 0, 0, 0, 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 173
"c:\Users\Brahim\Desktop\Prenoting\docs\superpowers\plans\2026-05-03-agendav2.md", "Markdown", 0, 0, 0, 0, 602, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 710
"c:\Users\Brahim\Desktop\Prenoting\docs\superpowers\plans\2026-05-10-appointment-24h-change-lock.md", "Markdown", 0, 0, 0, 0, 137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 199
"c:\Users\Brahim\Desktop\Prenoting\docs\superpowers\specs\2026-04-23-docker-development-design.md", "Markdown", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 34
"c:\Users\Brahim\Desktop\Prenoting\docs\superpowers\specs\2026-04-23-medical-appointment-mvp-design.md", "Markdown", 0, 0, 0, 0, 205, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 284
"c:\Users\Brahim\Desktop\Prenoting\docs\superpowers\specs\2026-04-23-portal-roles-and-route-views-design.md", "Markdown", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 22
"c:\Users\Brahim\Desktop\Prenoting\docs\superpowers\specs\2026-04-29-booking-date-no-reload-design.md", "Markdown", 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 78
"c:\Users\Brahim\Desktop\Prenoting\docs\superpowers\specs\2026-04-29-registrazione-profilo-codice-fiscale-design.md", "Markdown", 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 133
